TAX;EL;Measure;Standard
SUDO;Ulna;DPA;48,15
SUDO;Ulna;SDO;35,1
SUDO;Mc 2;Bd;11,85
SUDO;Mc 3;Bp;22,75
SUDO;Mc 3;Bd;20,1
SUDO;Mc 4;Bp;19,4
SUDO;Mc 4;Bd;18,55
SUDO;Mc 5;Bd;13,5
SUDO;Pelvis;LAR;35,1
SUDO;Pelvis;SH;28,7
SUDO;Femur;Bp;64,75
SUDO;Femur;DC;28,4
SUDO;Femur;Bd;53
SUDO;Tibia;SD;23,25
SUDO;Tibia;Bd;36
SUDO;Tibia;Bp;57
SUDO;Astragalus;GLl;48
SUDO;Astragalus;GLm;43,7
SUDO;Calcaneus;GL;91,25
SUDO;Calcaneus;GB;27,2
SUDO;Mt 2;Bd;10,25
SUDO;Mt 3;Bp;16,4
SUDO;Mt 3;Bd;19,05
SUDO;Mt 3;LeP;91,75
SUDO;Mt 4;Bp;17,3
SUDO;Mt 4;Bd;18,75
SUDO;Mt 4;LeP;98,15
SUDO;Mt 5;Bd;11,3
SUDO;Ph 1;Bp;18,66
SUDO;Ph 2;Bp;17,93
CEEL;Scapula;SLC;40,5
CEEL;Humerus;Bp;76,6
CEEL;Humerus;Bd;60
CEEL;Radius;Bd;53
CEEL;Radius;Bd;53
CEEL;Ulna;BPC;33,1
CEEL;Metacarpus;Bd;44,4
CEEL;Pelvis;LA;55
CEEL;Femur;Bd;76
CEEL;Tibia;Bd;51,5
CEEL;Astragalus;GLI;58
CEEL;Calcaneus;GL;121
CEEL;Metatarsus;Bd;44,6
CEEL;Phalanx 1 ant./post.;Bp;21,2
CEEL;Phalanx 2 ant./post.;Bp;20,7
